Abbreviation,Type,Frame,X (mm),Y (mm),Z (mm),Notes			
LG,Via,Tibia,0.963,-41.618,-6.197				
EDL,Insertion,Foot,20.581,-4.657,1.023				
EDL,Via,Foot,4.347,-0.954,0.908				
FDL,Insertion,Foot,19.248,-6.962,1.465				
FDL,Via,Foot,2.079,-4.229,-0.263				
FDL,Via,Foot,-1.484,-2.881,0.159				
FDL,Via,Foot,-4.207,-1.497,-0.06603				
FHL,Insertion,Foot,19.135,-7.09,-1.929				
FHL,Via,Foot,2.963,-4.29,-0.567				
FHL,Via,Foot,-1.153,-3.211,-0.656				
FHL,Via,Foot,-3.882,-1.681,-0.496				
LG,Insertion,Foot,-3.09,-2.356,1.447				
LG,Via,Foot,-4.147,-1.234,1.309				
MG,Insertion,Foot,-3.158,-2.639,0.201				
MG,Via,Foot,-3.545,-1.398,-0.546				
Per,Via,Foot,2.433,-3.706,2.352				
Per,Via,Foot,-0.692,-2.568,2.037				
Per,Via,Foot,-3.636,-1.164,1.761				
Per,Insertion,Foot,6.056,-4.665,0.846,PerL			
Pla,Insertion,Foot,-3.561,-2.715,0.819				
Pla,Via,Foot,-4.157,-1.334,0.796				
Sol,Insertion,Foot,-3.561,-2.754,0.4				
Sol,Via,Foot,-4.129,-1.414,0.39				
TA,Insertion,Foot,7.945,-2.944,-1.965				
TA,Via,Foot,4.773,-1.062,-1.312				
TP,Insertion,Foot,4.296,-4.048,-1.687				
TP,Via,Foot,-4.358,-1.609,-0.337				
TP,Via,Foot,-1.159,-3.222,-0.103				
MG,Via,Tibia,-4.896,-6.148,1.111				
MG,Via,Tibia,-2.257,-42.328,-6.557				
Per,Via,Tibia,1.375,-41.618,-6.197				
Per,Origin,Tibia,3.491,-5.378,2.735,PerL			
Pla,Via,Tibia,2.712,-7.046,3.975				
Pla,Via,Tibia,0.508,-41.618,-6.197				
Pop,Insertion,Tibia,-2.611,-15.257,-3.901				
Pop,Via,Tibia,-0.151,-6.323,3.876				
RF,Via,Tibia,-1.716,0.815,-2.518				
SM,Insertion,Tibia,-2.89,-6.16,-0.318				
STa,Insertion,Tibia,-2.449,-13.114,-3.591,ST?			
STp,Insertion,Tibia,-2.449,-13.114,-3.591				
Sol,Origin,Tibia,0.824,-7.027,4.31				
Sol,Via,Tibia,-0.175,-41.618,-6.197				
TA,Origin,Tibia,-2.308,-4.47,-3.782				
TA,Via,Tibia,-2.12,-14.635,-7.924				
TA,Via,Tibia,-1.431,-39.204,-9.245				
TP,Origin,Tibia,-1.427,-8.55,1.871				
TP,Via,Tibia,-1.554,-42.19,-6.45				
VI,Insertion,Tibia,-0.527,-3.598,-5,Tibial tuberosity			
VL,Insertion,Tibia,-0.527,-3.598,-5				
VM,Insertion,Tibia,-0.527,-3.598,-5				
VI,Via,Tibia,-0.29,0.756,-2.082				
VL,Via,Tibia,1.159,1.022,-1.799				
VM,Via,Tibia,-3.916,0.713,-2.615				
MG,Origin,Femur,-5.6,-2.026,32.495				
OE,Insertion,Femur,-2.809,-2.8,0.605				
OI,Via,Femur,-4.066,-1.597,-1.22				
Pec,Insertion,Femur,-7.5,-4.5,9.344				
Pir,Insertion,Femur,-6.145,1.521,-3.3				
Pla,Origin,Femur,-12,-3.766,28.916				
Pop,Origin,Femur,-13,-3.331,30.766				
Pop,Via,Femur,-12.74,-5.68,29.888				
QF,Insertion,Femur,-6.201,-3.976,-0.436				
RF,Via,Femur,-9.664,0.916,33.229				
TFL,Insertion,Femur,-9.139,-0.491,20.484				
VI,Origin,Femur,-9.016,-1.543,8.885				
VI,Via,Femur,-12.538,-0.655,33.545				
VL,Origin,Femur,-8.878,-2.021,1.648				
VL,Via,Femur,-12.657,-2.802,32.316				
VM,Origin,Femur,-4,-1.169,4.662				
VM,Via,Femur,-7.386,0.036067,33.844				
OE,Origin,Pelvis,15.777,-6.5,4.619				
OI,Origin,Pelvis,19.884,-6.8,3.25				
Pec,Origin,Pelvis,20.879,-3.121,12.704				
Pir,Origin,Pelvis,-5.732,-10.422,-3.162				
QF,Origin,Pelvis,20.123,-6,6				
RF,Origin,Pelvis,2.081,-12,1				
SM,Origin,Pelvis,21.909,-6,3.732				
STa,Origin,Pelvis,20.964,-1.477,-4.803				
STa,Via,Pelvis,21.042,-4.671,-2.5				
STa,Via,Pelvis,21.056,-6.303,-0.809				
STp,Origin,Pelvis,22.152,-5.93,0.642				
TFL,Origin,Pelvis,-9.594,-9.968,-0.533
